CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
36678760126714,36,67876,0126714,2015-16,6,,27,33,44,48,4,,17,20,34,36
45700116097703,45,70011,6097703,2015-16,36,47,35,39,44,48,36,42,36,30,34,36
57726940116996,57,72694,0116996,2015-16,23,24,36,43,44,48,14,14,27,31,34,36
19753416022149,19,75341,6022149,2015-16,75,85,68,73,44,48,69,82,56,61,34,36
37683386099089,37,68338,6099089,2015-16,56,69,49,54,44,48,57,54,39,42,34,36
42692036045520,42,69203,6045520,2015-16,17,20,12,18,44,48,4,7,6,7,34,36
13631491337138,13,63149,1337138,2015-16,10,20,40,46,44,48,10,,29,35,34,36
13630736008304,13,63073,6008304,2015-16,28,37,30,36,44,48,13,26,17,20,34,36
19647330122226,19,64733,0122226,2015-16,21,24,34,39,44,48,21,29,25,29,34,36
15633216009005,15,63321,6009005,2015-16,20,28,26,31,44,48,13,15,18,21,34,36
36103630115808,36,10363,0115808,2015-16,22,27,14,13,44,48,13,16,8,7,34,36
31750850119487,31,75085,0119487,2015-16,74,79,70,71,44,48,54,58,58,61,34,36
54718370122705,54,71837,0122705,2015-16,21,14,34,35,44,48,0,,20,21,34,36
43693776093033,43,69377,6093033,2015-16,71,71,56,59,44,48,65,65,50,54,34,36
37737916105993,37,73791,6105993,2015-16,72,77,60,65,44,48,67,67,46,50,34,36
30666216096333,30,66621,6096333,2015-16,59,67,50,53,44,48,49,56,38,40,34,36
19650606023261,19,65060,6023261,2015-16,41,44,63,66,44,48,25,32,55,58,34,36
37735513730017,37,73551,3730017,2015-16,49,39,69,74,44,48,0,3,60,64,34,36
30666706108484,30,66670,6108484,2015-16,12,23,27,31,44,48,15,21,22,25,34,36
30665973030186,30,66597,3030186,2015-16,43,43,54,58,44,48,11,16,47,50,34,36
27661596118129,27,66159,6118129,2015-16,21,24,33,39,44,48,16,25,16,21,34,36
41690474134557,41,69047,4134557,2015-16,85,85,75,79,44,48,72,70,54,57,34,36
30736430121152,30,73643,0121152,2015-16,76,83,57,62,44,48,76,78,49,52,34,36
56739406055131,56,73940,6055131,2015-16,52,55,61,63,44,48,55,54,45,49,34,36
43694846047302,43,69484,6047302,2015-16,34,34,44,49,44,48,29,31,37,40,34,36
19648401933647,19,64840,1933647,2015-16,49,38,43,46,44,48,17,14,25,29,34,36
43694500121483,43,69450,0121483,2015-16,63,66,41,48,44,48,64,62,37,41,34,36
29663572930030,29,66357,2930030,2015-16,69,86,61,68,44,48,13,32,34,41,34,36
